Name,Categories,"Specialist care","How to arrange a place","Provided by",Address,Postcode,"Phone number",Email,Website,"More information from Care Inspectorate",Location
"Abercorn Nursing Home","Nursing home","Care of the elderly and older people, dementia, Physical disabilities or illness","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"11 Abercorn Terrace, Edinburgh","EH15 2DE","0131 669 3789",enquiries@abercorncare.com,"<a href=""http://www.abercornnursinghome.co.uk/"">Abercorn Nursing Home website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010607"">Quality grades and inspection reports</a>","55.95049739416244,-3.106684684753418"
"Alemoor Crescent","Residential Care Home","Physical disabilities, Learning disabilities, long-term health conditions","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Leonard Cheshire","17 Alemoor Crescent, Edinburgh","EH7 6UJ","0131 554 2220",scotland@LCDisability.org,"<a href=""http://www.lcdisability.org/?lid=21233/"">Alemoor Crescent</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003015503"">Quality grades and inspection reports</a>","55.964551624077814,-3.1571102142333984"
"Argyle Street","Residential Care Home","Physical disabilities, Learning disabilities, long-term health conditions","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Leonard Cheshire","7 - 9 Argyle Street, Edinburgh","EH6 4SZ","0131 555 3800",scotland@LCDisability.org,"<a href=""http://www.lcdisability.org/?lid=21084"">Argyle Street</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010993"">Quality grades and inspection reports</a>","55.97800046596516,-3.1814002990722656"
"ARK Care Home","Residential Care Home","Learning disabilities","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","ARK Housing Association","The Priory, Canaan Lane, Edinburgh","EH10 4SG","0131 447 9027",,"<a href=""http://www.arkha.org.uk/1/1/0/Home"">Ark Housing Association</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004073973"">Quality grades and inspection reports</a>","55.92997145781331,-3.2024717330932617"
"Ashley Court Nursing Home","Nursing Home, Short Breaks and Respite","Care of the elderly and older people","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Randolph Hill","33 Craighouse Terrace, Edinburgh","EH10 5LH","0131 447 2345",headoffice@randolphhill.com,"<a href=""http://www.randolphhill.com/our-homes/ashley-court/"">Ashley Court Nursing Home</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010612"">Quality grades and inspection reports</a>","55.923647,-3.223083"
"Bath Street","Residential Care Home","Physical disabilities, Learning disabilities, long-term health conditions","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Leonard Cheshire","25 Bath Street, Portobello, Edinburgh","EH15 1HB","0131 6692597",scotland@LCDisability.org,"<a href=""http://www.lcdisability.org/?lid=21114"">Bath Street</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010994"">Quality grades and inspection reports</a>","55.95448595060974,-3.1116628646850586"
"Belgrave Lodge Nursing Home","Nursing Home, Short Breaks and Respite","Care of the elderly and older people, Dementia, Mental health","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"45 Belgrave Road, Edinburgh","EH12 6NG","0131 334 9400",,,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010613"">Quality grades and inspection reports</a>","55.942929,-3.2764"
"Belleville Lodge Nursing Home","Nursing Home, Short Breaks and Respite","Care of the elderly and older people","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Mansfield Care","5 Blackett Avenue, Edinburgh","EH9 1RT","0131 668 2799",belleville@mansfieldcare.co.uk,"<a href=""http://www.mansfieldcare.co.uk/our-homes/belleville-lodge-edinburgh/"">Bellvielle Lodge Nursing Home</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008169339"">Quality grades and inspection reports</a>","55.936546,-3.173751"
"Blackadder Place","Residential Care Home","Physical disabilities, Learning disabilities, long-term health conditions","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Leonard Cheshire","1 - 7 Blackadder Place, Edinburgh","EH5 2BF","0131 551 2751",scotland@LCDisability.org,"<a href=""http://www.lcdisability.org/?lid=21262"">Blackadder Place</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010996"">Quality grades and inspection reports</a>","55.97571929527172,-3.2277488708496094"
"Blenham House","Nursing Home, Short Breaks and Respite",Dementia,"<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Randolph Hill","3 Sighthill Court, Edinburgh","EH11 4EU","0131 458 9820",headoffice@randolphhill.com,"<a href=""http://www.randolphhillgroup.com/latest/blenham-house.html"">Blenham House</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2006140016"">Quality grades and inspection reports</a>","55.92359,-3.287766"
"Braeburn Home","Residential Care Home","Care of the elderly and older people, Dementia","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"35 Inverleith Terrace, Edinburgh","EH3 5NU","0131 332 1481",,,"<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008176891"">Quality grades and inspection reports</a>","55.96276,-3.208618"
"Braeside House","Nursing Home","Elderly / Older people who are registered blind or visually impaired","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Royal Blind","81 Liberton Road, Edinburgh","EH16 6LE","0131 270 3020",enquiries.braeside@royalblind.org,"<a href=""http://www.royalblind.org/braesidehouse/"">Braeside House</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010617"">Quality grades and inspection reports</a>","55.912915,-3.174426"
"Braid Hills Nursing Centre","Nursing Home, Short Breaks and Respite",Dementia,"<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",Bupa,"77 Liberton Drive, Edinburgh","EH16 6NS","0131 672 1084",,"<a href=""http://www.bupa.co.uk/individuals/care-homes/choosing-a-bupa-care-home/find-a-care-home/braid-hills-care-home-edinburgh?cscmp=ch-search-braid-hills-care-home-edinburgh"">Braid Hills Nursing Centre</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010604"">Quality grades and inspection reports</a>","55.912833,-3.174634"
