Description,ID,Activity Group,Site,Start Time,Duration,Max Bookees,Min Bookees,Waiting List,Frequency,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Start Date,End Date,Web Bookable,Web Comments
Aquazumba Fri 12:00,ELFIT0000000016,FITCLAS001,APLC,12:00:00,60,30,0,1,1,0,0,0,0,0,1,0,01/03/2013,05/06/2015,1,A safe and effective workout using the resistance that water creates. Equipment is used to increase intensity – suitable for all ages and fitness levels.
Aquafit Mon 10:00,ELFIT0000000027,FITCLAS001,APLC,10:00:00,45,20,0,1,1,0,1,0,0,0,0,0,01/03/2013,30/03/2015,1,A safe and effective workout using the resistance that water creates. Equipment is used to increase intensity – suitable for all ages and fitness levels.
Aquafit Mon 19:00,ELFIT0000000057,FITCLAS001,APLC,19:00:00,45,30,0,1,1,0,1,0,0,0,0,0,01/03/2013,08/06/2015,1,A safe and effective workout using the resistance that water creates. Equipment is used to increase intensity – suitable for all ages and fitness levels.
New To Cxworx Sun 12:00,ELFIT0000000088,FITCLAS009,APLC,12:00:00,15,20,0,1,1,1,0,0,0,0,0,0,01/03/2013,08/02/2015,1,A 15 minute technique class to introduce you to CXWORX. It is recommended you go to this class if you haven’t done a CXWORX class before.
Aquafit Tue 11:30,ELFIT0000000089,FITCLAS012,APLC,11:30:00,45,30,0,1,1,0,0,1,0,0,0,0,01/03/2013,30/12/1899,1,"An exercise class designed to improve mobility, flexibility and keep you fit supple and stretched."
Sh`Bam Tue 10:30,ELFIT0000000112,FITCLAS004,CLTC,10:35:00,45,30,0,1,1,0,0,1,0,0,0,0,01/03/2013,02/12/2014,1,"Featuring simple but seriously hot dance moves, SH’BAM™ is the perfect way to shape up and let out your inner star - even if you’re dance challenged, all in 45 minutes!"
Pilates Imp Sun 09:30,ELFIT0000000124,FITCLAS016,CLTC,09:30:00,60,12,0,1,1,1,0,0,0,0,0,0,01/03/2013,08/02/2015,1,"Strengthening and lengthening exercises designed to tone, firm and re-align without bulking. Different levels of class are available to cater for all abilities."
Core Condition Tue 17:25,ELFIT0000000131,FITCLAS008,CLTC,17:25:00,30,35,0,1,1,0,0,1,0,0,0,0,01/03/2013,23/09/2014,1,A class designed to strengthen and tone the whole body using hand held weights and exercise bands.
Pilates Imp Sun 10:30,ELFIT0000000139,FITCLAS016,CLTC,10:30:00,60,12,0,1,1,1,0,0,0,0,0,0,01/03/2013,08/02/2015,1,"Strengthening and lengthening exercises designed to tone, firm and re-align without bulking. Different levels of class are available to cater for all abilities."
Boxing Circuit Wed 18:15,ELFIT0000000145,FITCLAS006,CLTC,18:15:00,60,16,0,1,1,0,0,0,1,0,0,0,01/03/2013,04/02/2015,1,"A fantastic station–based, workout incorporating all aspects of fitness."
Sh`Bam Sun 12:15,ELFIT0000000162,FITCLAS004,CLTC,12:15:00,45,30,0,1,1,1,0,0,0,0,0,0,01/03/2013,28/12/2014,1,"Featuring simple but seriously hot dance moves, SH’BAM™ is the perfect way to shape up and let out your inner star - even if you’re dance challenged, all in 45 minutes!"
Latin Rhythms Fri 18:15,ELFIT0000000166,FITCLAS010,CLTC,18:15:00,60,16,0,1,1,0,0,0,0,0,1,0,01/03/2013,24/10/2014,1,A contemporary and fun aerobic workout with a twist of Latino dance.
Line Dancing Tue 14:00,ELFIT0000000196,FITCLAS010,CLTC,14:00:00,60,16,0,1,1,0,0,1,0,0,0,0,01/03/2013,17/02/2015,1,Studio 2
Cxworx Sun 15:30,ELFIT0000000320,FITCLAS009,GLC,15:30:00,30,25,0,1,1,1,0,0,0,0,0,0,01/03/2013,12/10/2014,1,"If you’re looking for a short, sharp workout that’ll inspire you to a new level of fitness, while strengthening and toning your body? CXWORX is for you! The class combines the best of personal training with the energy of a group fitness class."
Bodyattack Sun 16:00,ELFIT0000000321,FITCLAS002,GLC,16:00:00,60,26,0,1,1,1,0,0,0,0,0,0,01/03/2013,07/06/2015,1,"A simple, motivating and satisfying workout which will deliver results. This will suit all participants using high energy interval training techniques."
Core Pilates Thu 17:30,ELFIT0000000326,FITCLAS016,GLC,17:30:00,45,12,0,1,1,0,0,0,0,1,0,0,01/03/2013,30/12/1899,1,"Strengthening and lengthening exercises designed to tone, firm and re-align without bulking. Different levels of class are available to cater for all abilities."
Yoga Thu 19:30,ELFIT0000000338,FITCLAS023,GLC,19:30:00,90,15,0,1,1,0,0,0,0,1,0,0,01/03/2013,30/12/1899,1,"A form of exercise that uses slow movements and stretching. Good for increasing flexibility and balance, and to relieve stress and relax. We offer many different styles of Yoga. “Please see the website for details of specific yoga styles"
Sh`Bam Sun 17:00,ELFIT0000000344,FITCLAS004,GLC,17:00:00,45,26,0,1,1,1,0,0,0,0,0,0,01/03/2013,15/02/2015,1,"Featuring simple but seriously hot dance moves, SH’BAM™ is the perfect way to shape up and let out your inner star - even if you’re dance challenged, all in 45 minutes!"
Bodypump Tue 20:30,ELFIT0000000350,FITCLAS018,GLC,20:40:00,55,23,0,1,1,0,0,1,0,0,0,0,01/03/2013,17/02/2015,1,"A muscular strength endurance workout using weights. Strengthens, conditions and tones."
Bodypump Tech Tue 17:00,ELFIT0000000363,FITCLAS018,GLC,17:00:00,30,4,0,1,1,0,0,1,0,0,0,0,01/03/2013,20/10/2015,1,Specialised session demonstrating technique and explaining class content. Ideal for new customers and individuals who wish to improve their technique.
20/20/20 Tue 19:35,ELFIT0000000503,FITCLAS011,MSC,19:35:00,60,25,0,1,1,0,0,1,0,0,0,0,01/03/2013,30/12/1899,1,"20 minutes of step, 20 minutes of circuits, 20 minutes of abdominal work. All–round fitness."
Boot Camp Mon 18:30,ELFIT0000000504,FITCLAS029,MSC,18:30:00,60,15,0,1,1,0,1,0,0,0,0,0,01/03/2013,08/06/2015,1,A circuit–based class using various equipment to push you to your limits but allowing you to work at your own level.
Sh`Bam Tue 10:05,ELFIT0000000513,FITCLAS004,MSC,10:05:00,45,25,0,1,1,0,0,1,0,0,0,0,01/03/2013,30/12/1899,1,"Featuring simple but seriously hot dance moves, SH’BAM™ is the perfect way to shape up and let out your inner star - even if you’re dance challenged, all in 45 minutes!"
