Site ID,Site Name,Address 1,Address 2,City,Postcode,Phone,Email
APLC,Ainslie Park,92 Pilton Drive,,Edinburgh,EH5 2HF,0131 551 2400,info.aplc@edinburghleisure.co.uk
CLTC,Craiglockhart,Colinton Road,,Edinburgh,EH14 1BZ,0131 444 1969,info.cltc@edinburghleisure.co.uk
DLC,Drumbrae,30 Drumbrae Terrace,,Edinburgh,EH4 7SF,0131 312 7957,info.dlc@edinburghleisure.co.uk
DSC,Dalry,25-29 Caledonian Crescent,,Edinburgh,EH11 2AL,0131 313 3964,info.dsc@edinburghleisure.co.uk
EICA,E.I.C.A. Ratho,South Platt Hill,Ratho,Edinburgh,EH28 8AA,0131 333 6333,info.eica@edinburghleisure.co.uk
GLC,Gracemount,22 Gracemount Drive,,Edinburgh,EH16 6RN,0131 658 1940,info.glc@edinburghleisure.co.uk
GSC,Glenogle,Glenogle Road,,Edinburgh,EH3 5JB,0131 343 6376,info.gsc@edinburghleisure.co.uk
HO,Head Office,Vantage Point,3 Cultins Road,Edinburgh,EH11 4DF,0131 458 2100,info.ho@edinburghleisure.co.uk
JKSC,Jack Kane,208 Niddrie Mains Road,,Edinburgh,EH16 4ND,0131 669 0404,info.jksc@edinburghleisure.co.uk
KLC,Kirkliston,Kirklands Park Street,Kirkliston,Edinburgh,EH29 9ET,0131 333 4700,info.klc@edinburghleisure.co.uk
LVSC,Leith Victoria,Junction Place,,Edinburgh,EH6 5JA,0131 555 4728,info.lvsc@edinburghleisure.co.uk
MEG,Meggetland,Colinton Road,,Edinburgh,EH14 1AS,0131 455 8375,info.meg@edinburghleisure.co.uk
MSC,Meadowbank,London Road,,Edinburgh,EH7 6AE,0131 661 5351,info.msc@edinburghleisure.co.uk
TAP,Tumbles At Portobello,20 Westbank Street,,Edinburgh,EH15 1DR,0131 669 0878,info.tap@edinburghleisure.co.uk
PSC,Portobello,57 The Promenade,,Edinburgh,EH15 2BS,0131 669 6888,info.psc@edinburghleisure.co.uk
QHRC,Queensferry,Ashburnham Road,,Edinburgh,EH30 9JN,0131 319 3222,info.qhrc@edinburghleisure.co.uk
RCP,Royal Commonwealth Pool,Dalkeith Road,,Edinburgh,EH16 5BB,0131 667 7211,info.rcp@edinburghleisure.co.uk
WSC,Warrender,55 Thirlestane Road,,Edinburgh,EH9 1AP,0131 447 0052,info.wsc@edinburghleisure.co.uk
